Label, Parts Of Speech
unspecified,Default
uncertain,Default
moderate,Default
talent,Default
difficult,Default
really,Default
notable,Default
superlative,Default
quite,Default
argument,Default
angry,Default
debate,Default
lines,Default
lyrics,Default
tears,Default
crying,Default
shedding,Default
shout,Default
scream,Default
shouted,Default
screamed,Default
clamour,Default
outcry,Default
hounds,Default
pack,Default
question,Default
animal,Default
typical,Default
desperate,Default
urgent,Default
report,Default
gossip,Default
weep,Default
shed,Default
publicly,Default
call,Default
loudly,Default
utter,Default
declare,Default
yell,Default
inarticulate,Default
do,Default
sounds,Default
weeping,Default
bring,Default
cause,Default
lost,Default
sold,Default
notify,Default
found,Default
oral,Default
advertise,Default
proclamation,Default
things,Default
banns,Default
publish,Default
marriage,Default
number,verb;noun
diminutive,Default
flat,adverb;verb;adjective;noun
level,Default
equal,Default
accounts,Default
due,Default
quits,Default
side,Default
balance,verb;noun
obligation,noun
nothing,adverb;pronoun;noun
complete,verb;adjective;noun
pace,verb;adjective;noun
keep,verb;noun
variation,noun
proportion,verb;noun
divisible,adjective;noun
integer,noun
ending,noun
convenient,adjective
numbers,verb;noun
zero,verb;adjective;noun;numeral
rounding,noun;adjective;verb
example,Default
owing,adjective;verb
terms,Default
monetary,adjective
owed,Default
sort,Default
parallel,Default
reaching,Default
limit,Default
flaw,Default
irregularity,Default
pure,Default
blemish,Default
associate,Default
fellow,Default
just,Default
fully,Default
compared,Default
reality,Default
extreme,Default
emphasizing,Default
correction,Default
rather,Default
states,Default
encoded,Default
change,Default
conveys,Default
detection,Default
give,Default
command,Default
danger,Default
concerted,Default
start,Default
occurrence,Default
device,Default
indication,Default
light,Default
semaphore,Default
function,Default
voltage,Default
electromagnetic,Default
radio,Default
normally,Default
party,Default
tv,Default
internet,Default
telephone,Default
thus,Default
convey,Default
process,Default
reduce,Default
uncertainty,Default
token,Default
foreshadowing,Default
noise,Default
useful,Default
simple,Default
thread,Default
interprocess,Default
interaction,Default
cells,Default
communicate,Default
achievement,Default
heraldic,Default
guiding,Default
chapter,Default
canto,Default
prefixed,Default
suggestive,Default
essay,Default
principle,Default
maxim,Default
scrap,Default
together,Default
cracker,Default
sweetmeat,Default
packet,Default
may,Default
basic,Default
situations,Default
striking,Default
assertion,Default
paradoxical,Default
enigma,Default
parable,verb;noun
obscure,adjective;verb
saying,noun;verb
illustration,noun
familiar,adjective;noun
exemplifying,verb
proverbs,verb;noun
provide,verb
new,adverb;verb;adjective;noun
interest,verb;noun
events,verb;noun
disseminated,adjective;verb
via,noun
media,noun
newsgroups,noun
posts,verb;noun
published,verb
cuthbert,Default
parishes,noun
still,adverb;adjective;noun
externally,adverb
england,Default
civil,Default
st,Default
lacking,Default
worn,Default
condom,Default
prostitution,Default
doing,Default
unless,Default
except,Default
entry,Default
encyclopedia,Default
nonfictional,Default
story,Default
dictionary,Default
magazine,Default
opinion,Default
journal,Default
newspaper,Default
limits,Default
pashto,Default
russian,Default
swedish,Default
definite,Default
specifies,Default
appear,Default
these,Default
bylaws,Default
entire,Default
segment,Default
joined,Default
combination,Default
wench,Default
concern,Default
moment,Default
articles,Default
apprenticeship,Default
bind,Default
accusations,Default
exhibition,Default
charge,Default
accuse,Default
forth,Default
particulars,Default
formulate,Default
arrangement,Default
arranged,Default
decorum,Default
quiet,Default
conformity,Default
disturbance,Default
freedom,Default
tranquillity,Default
general,Default
service,Default
supply,Default
commission,Default
purchase,Default
product,Default
sell,Default
monks,Default
adherence,Default
religious,Default
principles,Default
nuns,Default
adherents,Default
religion,Default
rule,Default
apart,Default
knights,Default
interests,Default
government,Default
house,Default
decoration,Default
humanity,Default
nation,Default
dynastic,Default
row,Default
fixed,Default
suitable,Default
grade,verb;noun
priest,Default
ministry,Default
deacon,verb;noun
office,verb;noun
bishop,verb;noun
ecclesiastical,adjective
architectural,adjective
since,adverb;conjunction;preposition
features,verb;noun
component,adjective;noun
entablature,noun
architecture,noun
classical,adjective;noun
resting,noun;adjective;verb
batting,noun
batsmen,noun
bat,noun
filter,verb;noun
block,verb;noun
polynomial,Default
circuit,verb;noun
amplifier,noun
electronic,adjective
reaction,noun
concentrations,noun
rate,verb;noun
overall,adverb;adjective;noun
products,noun
reactants,noun
chemical,adjective;noun
regardable,Default
cardinality,Default
positive,Default
given,Default
identity,Default
notation,Default
where,Default
multiplicative,Default
no,Default
natural,Default
n,Default
gn,Default
if,Default
infinite,Default
element,Default
vertices,Default
graph,Default
partially,Default
ordered,Default
determines,Default
monomials,Default
highest,Default
monomial,Default
variables,Default
exponents,Default
sum,Default
postal,Default
money,Default
compare,Default
direction,Default
furnish,Default
arrange,Default
issue,Default
placing,Default
secure,Default
admit,Default
ordain,Default
receive,Default
ranks,Default
orders,Default
instructing,Default
furnishing,Default
teaching,Default
so,Default
furnished,Default
processor,Default
operation,Default
directions,Default
provided,Default
manufacturer,Default
users,Default
feelings,Default
ideas,Default
thoughts,Default
colloquialism,Default
idiom,Default
facial,Default
emotion,Default
operations,Default
performed,Default
gene,Default
protein,Default
translating,Default
returns,Default
whisky,Default
blend,Default
squeezing,Default
pressing,Default
tone,Default
voice,Default
literary,Default
uncommon,Default
rare,Default
nowadays,Default
intend,Default
happen,Default
auxiliary,adjective;noun
habitually,adverb
choose,conjunction;verb
connotations,noun
bare,adverb;adjective;noun
temporal,adjective;noun
infinitive,adjective;noun
volition,noun
implication,noun
shall,verb
future,adjective;noun
first,adverb;adjective;noun
able,adjective
capacity,adjective;noun
have,verb;noun
subjective,adjective
weakening,noun;verb
must,verb;noun
present,adjective;noun
inference,noun
conditional,adjective;noun
adposition,Default
possessives,Default
absence,Default
requesting,Default
presence,Default
sought,Default
sent,Default
server,Default
network,Default
requested,Default
asked,Default
ask,Default
assures,Default
outcome,Default
security,Default
fulfillment,Default
assurance,Default
fit,Default
correctly,Default
warranty,Default
declaration,Default
work,Default
guarantor,Default
gives,Default
assume,Default
debt,Default
deity,Default
necessarily,Default
solemn,Default
pledge,Default
appealing,Default
ruler,Default
attest,Default
contract,Default
fulfill,Default
sincerity,Default
strengthened,Default
irreverent,Default
curse,Default
vow,Default
affirmation,Default
transaction,Default
gift,Default
here,Default
render,Default
devotes,Default
undertakes,Default
second,Default
valuable,Default
reason,Default
potential,Default
success,Default
improvement,Default
expect,Default
placeholder,Default
eventual,Default
asynchronous,Default
bestowal,Default
promised,Default
commit,Default
assure,Default
good,Default
grounds,Default
talking,Default
occasion,Default
exchange,Default
blades,Default
bout,Default
systems,Default
processing,Default
protocol,Default
dealing,Default
intercourse,Default
commerce,Default
conducts,Default
behaviour,Default
study,Default
engagement,Default
field,Default
engage,Default
concerning,Default
dispersion,Default
tumour,Default
answer,noun
summoning,Default
writ,Default
points,verb;noun
conducting,verb
advocacy,noun
submission,noun
attorney,verb;noun
court,Default
delivered,adjective;verb
relevant,adjective
solicitor,noun
barrister,noun
briefs,verb;noun
undershorts,noun
abstract,verb;adjective;noun
abridgement,noun
cis,adjective
epitome,noun
pr,Default
authorizing,verb
churches,verb;noun
patent,verb;noun
private,adjective;noun
charitable,adjective
contribution,noun
ticket,verb;noun
slang,verb;noun
summarize,verb
decision,verb;noun
development,Default
recent,Default
submit,Default
quickly,Default
happening,Default
concise,Default
few,Default
spatial,Default
occupying,Default
rife,Default
prevalent,Default
briefly,Default
soon,Default
sometime,Default
former,Default
circumstances,Default
occasions,Default
always,Default
move,Default
ditransitive,Default
shift,Default
predict,Default
probability,Default
estimate,Default
yield,Default
slightly,Default
under,Default
pressure,Default
collapse,Default
broadcast,Default
lead,Default
onto,Default
view,Default
exhibit,Default
produce,Default
effectuate,Default
supposition,Default
allow,Default
concede,Default
adjudge,Default
attribute,Default
pronounce,Default
advice,Default
judgment,Default
announce,Default
grant,Default
permission,Default
devote,Default
moist,Default
become,Default
soft,Default
misgiving,Default
going,Default
imparting,Default
conferring,Default
bestowing,Default
benefaction,Default
yielding,Default
softening,Default
breaking,Default
generous,Default
tendency,Default
adoption,Default
connected,Default
blood,Default
bantu,Default
inflects,Default
else,Default
depending,Default
url,Default
item,Default
uri,Default
path,Default
relates,Default
antecedent,adjective;noun
major,noun
key,verb;adjective;noun
minor,verb;adjective;noun
pertinent,adjective
related,adjective;verb
capable,adjective
circumstance,verb;noun
changed,verb
moving,noun;adjective;verb
astir,adjective
around,Default
evidence,verb;noun
apparent,adjective
neighbourhood,noun
near,Default
vicinity,Default
sides,verb;noun
movement,noun
succession,Default
unstructured,Default
unproductive,Default
almost,Default
nearly,Default
correspondence,Default
approximately,Default
reversed,Default
round,Default
facing,Default
opposite,Default
half,Default
circumference,Default
circularly,Default
circuitous,Default
circle,Default
every,Default
various,Default
fro,Default
throughout,Default
plan,Default
very,Default
affect,Default
account,Default
engaged,Default
immediate,Default
proximity,Default
neighborhood,Default
contiguity,Default
nearby,Default
control,Default
makeup,Default
faculties,Default
usual,Default
indirect,Default
asks,Default
whether,Default
deserves,Default
whoever,Default
they,Default
attention,Default
paying,Default
perceived,Default
phenomenology,Default
instant,Default
fashionable,Default
date,Default
popular,Default
inheritance,Default
prevent,Default
does,Default
rebuke,Default
been,Default
remonstration,Default
qualification,Default
times,Default
remote,Default
possible,Default
differently,Default
narration,Default
reached,Default
urgency,Default
recently,Default
ago,Default
begin,Default
whomever,Default
patterns,Default
fused,Default
archaic,Default
ethnic,Default
companions,Default
followers,Default
subjects,Default
regarded,Default
employees,Default
colleagues,Default
ancestors,Default
relatives,Default
commonalty,Default
citizens,Default
vulgar,Default
community,Default
elite,adjective;noun
crowd,Default
populace,noun
inhabitants,noun
fill,verb
populate,adjective;verb
stock,verb;adjective;noun
populated,adjective;verb
populous,adjective
inhabit,verb
occupy,verb
socialize,verb
interact,verb;noun
necessary,adjective;noun
adjuncts,noun
affecting,adjective;verb
arguments,verb;noun
along,adverb;preposition
provides,verb
dependent,adjective;noun
independent,adjective;noun
modifiers,noun
superordinate,verb;adjective;noun
subordinate,verb;adjective;noun
lading,noun;verb
shipping,noun
amend,verb;noun
how,Default
defective,Default
know,Default
modal,Default
permitted,Default
enabled,Default
verbs,Default
potentiality,Default
granted,Default
artefact,Default
obtained,Default
exclude,Default
simply,Default
restricts,Default
solely,Default
items,Default
meet,Default
members,Default
conditions,Default
excluding,Default
referring,Default
organisation,Default
requirements,Default
celebrity,Default
membership,Default
colour,Default
snobbish,Default
skin,Default
renown,Default
excluded,Default
suggesting,Default
exclusionary,Default
undivided,Default
addressed,Default
digit,Default
figure,Default
dollar,Default
aged,Default
child,Default
pips,Default
playing,Default
featuring,Default
card,Default
dots,Default
describing,Default
introduced,Default
last,Default
options,Default
bowling,Default
axis,Default
spinning,Default
vertical,Default
billiards,Default
rotary,Default
unexpected,Default
spin,Default
unusual,Default
nuance,Default
quantitative,Default
per,Default
apiece,Default
visible,Default
shape,Default
put,Default
assemble,Default
create,Default
derivation,Default
inflection,Default
constitute,Default
compose,Default
mould,Default
model,Default
discipline,Default
hare,Default
peroxide,Default
battery,Default
litharge,Default
cell,Default
formerly,Default
causing,Default
grids,Default
paste,Default
plate,Default
later,Default
plates,Default
coated,adjective;verb
filled,adjective;verb
composed,adjective;verb
was,Default
red,adjective;noun
introduction,noun
slow,adverb;verb;adjective;noun
alternations,noun
charging,noun;verb
were,noun
prepare,verb;noun
spongy,adjective
storage,verb;noun
mutually,adverb
allows,verb
choice,adjective;noun
chosen,adjective;verb
several,adverb;noun
exhausted,adjective;verb
option,verb;noun
remaining,noun;adjective;verb
available,adjective
rock,noun
underground,adverb;verb;adjective;noun
mainstream,verb;adjective;noun
reciprocal,adjective;noun
alternate,verb;adjective;noun
verdict,noun
judgement,Default
jury,Default
punishment,Default
crime,Default
imposed,Default
convicted,Default
apophthegm,Default
stop,Default
predicate,Default
beginning,Default
grammatically,Default
full,Default
capital,Default
formula,Default
generated,Default
thinking,Default
pronounced,Default
condemn,Default
doom,Default
decree,Default
sententiously,Default
indivisible,Default
adjectives,Default
est,Default
adding,Default
superlatives,Default
lowest,Default
everything,Default
including,Default
scope,Default
extremes,Default
attach,Default
attaching,Default
join,Default
link,Default
line,Default
electrical,Default
establish,Default
travel,Default
trip,Default
transport,Default
switch,Default
alignment,Default
truce,Default
straighten,Default
symmetrical,Default
align,Default
accurate,adjective
adjust,Default
conforming,Default
actual,adjective;noun
factually,Default
pattern,Default
boolean,Default
affirmative,Default
logic,Default
loyal,Default
faithful,Default
legitimate,Default
broadly,Default
clade,Default
called,Default
designation,Default
technical,Default
latter,Default
belongs,Default
scoped,Default
restricted,Default
missile,Default
toward,Default
target,Default
shooting,noun;verb
archery,noun
golf,verb;noun
loaded,adjective;verb
unbiased,adjective
fair,adverb;verb;adjective;noun
historical,adjective;noun
genre,noun
